,Date,Close,Open,High,Low,Volume,Return,Stock,code,polarity,sentiment,Price Up,Open_KLCI,Volume_KLCI,Return_KLCI
0,2019-01-03,3.5,3.48,3.51,3.48,80400.0,0.005747126436781658,BIMB,5258,0.0,no news,1,1675.16,71630000.0,-0.010835483699535242
1,2019-01-03,2.62,2.62,2.62,2.62,46300.0,0.0,KJCS,3522,0.0,no news,0,1675.16,71630000.0,-0.010835483699535242
2,2019-01-03,19.8,19.7,19.8,19.58,84900.0,0.00917431192660545,CBMS,2836,0.0,no news,1,1675.16,71630000.0,-0.010835483699535242
3,2019-01-04,3.49,3.55,3.55,3.48,66800.0,-0.0028571428571427804,BIMB,5258,0.0,no news,0,1672.58,66879999.99999999,-0.001540151388524147
4,2019-01-04,2.64,2.63,2.64,2.63,60500.0,0.007633587786259444,KJCS,3522,0.0,no news,1,1672.58,66879999.99999999,-0.001540151388524147
5,2019-01-04,19.52,19.8,19.8,19.52,65400.00000000001,-0.01414141414141423,CBMS,2836,0.0,no news,0,1672.58,66879999.99999999,-0.001540151388524147
6,2019-01-07,3.52,3.53,3.53,3.5,93000.0,0.008595988538681931,BIMB,5258,0.0,no news,1,1674.92,149140000.0,0.0013990362194933326
7,2019-01-07,2.64,2.65,2.65,2.64,87000.0,0.0,KJCS,3522,0.0,no news,0,1674.92,149140000.0,0.0013990362194933326
8,2019-01-07,19.52,19.54,19.64,19.48,218100.0,0.0,CBMS,2836,0.0,no news,0,1674.92,149140000.0,0.0013990362194933326
9,2019-01-08,3.53,3.58,3.6,3.53,409300.0,0.0028409090909089496,BIMB,5258,0.0,no news,1,1685.72,181520000.0,0.006448069161512082
10,2019-01-08,2.64,2.65,2.66,2.64,115000.0,0.0,KJCS,3522,0.0,no news,0,1685.72,181520000.0,0.006448069161512082
11,2019-01-08,19.4,19.38,19.56,19.22,421300.0,-0.006147540983606592,CBMS,2836,0.0,no news,0,1685.72,181520000.0,0.006448069161512082
12,2019-01-09,3.62,3.6,3.62,3.58,150800.0,0.02549575070821541,BIMB,5258,0.0,no news,1,1679.06,181730000.0,-0.003950834064969322
13,2019-01-09,2.64,2.64,2.65,2.64,132800.0,0.0,KJCS,3522,0.0,no news,0,1679.06,181730000.0,-0.003950834064969322
14,2019-01-09,19.56,19.36,19.56,19.36,188500.0,0.008247422680412342,CBMS,2836,0.0,no news,1,1679.06,181730000.0,-0.003950834064969322
15,2019-01-10,3.62,3.62,3.65,3.62,424000.0,0.0,BIMB,5258,0.0,no news,0,1677.38,161030000.0,-0.0010005598370516067
16,2019-01-10,2.65,2.65,2.66,2.64,86000.0,0.0037878787878786735,KJCS,3522,0.0,no news,1,1677.38,161030000.0,-0.0010005598370516067
17,2019-01-10,19.76,19.6,19.76,19.44,85900.0,0.010224948875255713,CBMS,2836,0.0,no news,1,1677.38,161030000.0,-0.0010005598370516067
18,2019-01-11,3.64,3.64,3.64,3.62,142300.0,0.005524861878453136,BIMB,5258,0.0,no news,1,1684.99,143690000.0,0.004536837210411315
19,2019-01-11,2.67,2.65,2.68,2.64,228300.0,0.007547169811320753,KJCS,3522,0.0,no news,1,1684.99,143690000.0,0.004536837210411315
20,2019-01-11,19.9,19.6,19.96,19.5,110500.0,0.007085020242914908,CBMS,2836,0.0,no news,1,1684.99,143690000.0,0.004536837210411315
21,2019-01-14,3.64,3.62,3.65,3.62,125500.0,0.0,BIMB,5258,0.0,no news,0,1683.05,90510000.0,-0.001151342144463774
22,2019-01-14,2.65,2.67,2.67,2.65,48100.0,-0.0074906367041198685,KJCS,3522,0.0,no news,0,1683.05,90510000.0,-0.001151342144463774
23,2019-01-14,19.98,19.84,20.0,19.64,137700.0,0.004020100502512669,CBMS,2836,0.0,no news,1,1683.05,90510000.0,-0.001151342144463774
24,2019-01-15,3.65,3.64,3.65,3.63,142700.0,0.002747252747252737,BIMB,5258,0.0,no news,1,1674.83,140310000.0,-0.004883990374617508
25,2019-01-15,2.69,2.65,2.69,2.65,119800.0,0.015094339622641506,KJCS,3522,0.0,no news,1,1674.83,140310000.0,-0.004883990374617508
26,2019-01-15,19.92,19.98,20.0,19.8,72500.0,-0.0030030030030029358,CBMS,2836,0.0,no news,0,1674.83,140310000.0,-0.004883990374617508
27,2019-01-16,3.69,3.64,3.69,3.63,100800.0,0.010958904109588996,BIMB,5258,0.0,no news,1,1675.78,115060000.0,0.0005672217478789321
28,2019-01-16,2.7,2.7,2.7,2.69,248900.0,0.0037174721189592312,KJCS,3522,0.0,no news,1,1675.78,115060000.0,0.0005672217478789321
29,2019-01-16,19.72,19.66,20.08,19.66,126700.0,-0.010040160642570406,CBMS,2836,0.0,no news,0,1675.78,115060000.0,0.0005672217478789321
30,2019-01-17,3.75,3.69,3.78,3.69,294100.0,0.016260162601626105,BIMB,5258,0.0,no news,1,1680.21,144490000.0,0.0026435450954183093
31,2019-01-17,2.69,2.7,2.7,2.67,185400.0,-0.003703703703703765,KJCS,3522,0.0,no news,0,1680.21,144490000.0,0.0026435450954183093
32,2019-01-17,19.98,19.96,20.0,19.74,142600.0,0.013184584178498993,CBMS,2836,0.0,no news,1,1680.21,144490000.0,0.0026435450954183093
33,2019-01-18,3.77,3.79,3.79,3.75,619200.0,0.005333333333333412,BIMB,5258,0.0,no news,1,1682.08,137840000.0,0.0011129561185803105
34,2019-01-18,2.69,2.7,2.7,2.69,219000.0,0.0,KJCS,3522,0.0,no news,0,1682.08,137840000.0,0.0011129561185803105
35,2019-01-18,20.38,19.8,20.44,19.8,262300.0,0.020020020020020013,CBMS,2836,0.0,no news,1,1682.08,137840000.0,0.0011129561185803105
36,2019-01-22,3.78,3.77,3.78,3.75,46300.0,0.0026525198938991412,BIMB,5258,0.0,no news,1,1698.88,132800000.00000001,0.009987634357462305
37,2019-01-22,2.7,2.68,2.71,2.68,125700.0,0.0037174721189592312,KJCS,3522,0.0,no news,1,1698.88,132800000.00000001,0.009987634357462305
38,2019-01-22,20.2,20.38,20.48,20.0,161200.0,-0.008832188420019649,CBMS,2836,0.0,no news,0,1698.88,132800000.00000001,0.009987634357462305
39,2019-01-23,3.78,3.79,3.79,3.76,53700.0,0.0,BIMB,5258,0.0,neutral,0,1690.76,131850000.0,-0.004779619514032829
40,2019-01-23,2.78,2.72,2.8,2.72,293400.0,0.02962962962962945,KJCS,3522,0.0,no news,1,1690.76,131850000.0,-0.004779619514032829
41,2019-01-23,20.2,20.2,20.38,20.14,254600.0,0.0,CBMS,2836,0.0,no news,0,1690.76,131850000.0,-0.004779619514032829
42,2019-01-24,3.78,3.77,3.8,3.77,396400.0,0.0,BIMB,5258,0.16,positive,0,1689.3,158050000.0,-0.0008635169982730284
43,2019-01-24,2.81,2.8,2.82,2.78,295300.0,0.010791366906474977,KJCS,3522,0.0,no news,1,1689.3,158050000.0,-0.0008635169982730284
44,2019-01-24,20.24,20.28,20.28,20.22,175300.0,0.001980198019801982,CBMS,2836,0.0,no news,1,1689.3,158050000.0,-0.0008635169982730284
