,Date,Close,Open,High,Low,Volume,Return,Stock,code,Movement,polarity,sentiment
0,2019-01-03,3.5,3.48,3.51,3.48,80400.0,0.005747126436781658,BIMB,5258,Up,0.0,no news
1,2019-01-04,3.49,3.55,3.55,3.48,66800.0,-0.0028571428571427804,BIMB,5258,Down,0.0,no news
2,2019-01-07,3.52,3.53,3.53,3.5,93000.0,0.008595988538681931,BIMB,5258,Up,0.0,no news
3,2019-01-08,3.53,3.58,3.6,3.53,409300.0,0.0028409090909089496,BIMB,5258,Up,0.0,no news
4,2019-01-09,3.62,3.6,3.62,3.58,150800.0,0.025495750708215414,BIMB,5258,Up,0.0,no news
5,2019-01-10,3.62,3.62,3.65,3.62,424000.0,0.0,BIMB,5258,No,0.0,no news
6,2019-01-11,3.64,3.64,3.64,3.62,142300.0,0.005524861878453136,BIMB,5258,Up,0.0,no news
7,2019-01-14,3.64,3.62,3.65,3.62,125500.0,0.0,BIMB,5258,No,0.0,no news
8,2019-01-15,3.65,3.64,3.65,3.63,142700.0,0.0027472527472527375,BIMB,5258,Up,0.0,no news
9,2019-01-16,3.69,3.64,3.69,3.63,100800.0,0.010958904109588996,BIMB,5258,Up,0.0,no news
10,2019-01-17,3.75,3.69,3.78,3.69,294100.0,0.016260162601626105,BIMB,5258,Up,0.0,no news
11,2019-01-18,3.77,3.79,3.79,3.75,619200.0,0.005333333333333412,BIMB,5258,Up,0.0,no news
12,2019-01-22,3.78,3.77,3.78,3.75,46300.0,0.0026525198938991412,BIMB,5258,Up,0.0,no news
13,2019-01-23,3.78,3.79,3.79,3.76,53700.0,0.0,BIMB,5258,No,0.0,neutral
14,2019-01-24,3.78,3.77,3.8,3.77,396400.0,0.0,BIMB,5258,No,0.16,positive
15,2019-01-25,3.87,3.8,3.9,3.8,823400.0,0.023809523809523947,BIMB,5258,Up,0.0,neutral
16,2019-01-28,3.87,3.9,3.91,3.85,945500.0,0.0,BIMB,5258,No,0.25,positive
17,2019-01-28,3.87,3.9,3.91,3.85,945500.0,0.0,BIMB,5258,No,0.4333333333333333,positive
18,2019-01-29,3.84,3.89,3.89,3.84,116800.0,-0.007751937984496138,BIMB,5258,Down,0.0,no news
19,2019-01-30,3.75,3.87,3.87,3.75,128500.0,-0.0234375,BIMB,5258,Down,0.0,no news
20,2019-01-31,3.75,3.76,3.8,3.75,294900.0,0.0,BIMB,5258,No,0.0,no news
21,2019-02-04,3.77,3.76,3.79,3.75,54700.0,0.005333333333333412,BIMB,5258,Up,0.0,no news
22,2019-02-07,3.84,3.78,3.86,3.78,91000.0,0.018567639257294433,BIMB,5258,Up,0.0,no news
23,2019-02-08,3.95,3.9,3.96,3.87,1160000.0,0.02864583333333348,BIMB,5258,Up,0.0,no news
24,2019-02-11,4.03,3.96,4.05,3.92,753000.0,0.020253164556962133,BIMB,5258,Up,0.0,no news
25,2019-02-12,4.02,4.03,4.06,4.01,777600.0,-0.002481389578163906,BIMB,5258,Down,0.0,no news
26,2019-02-13,4.06,4.02,4.09,4.02,1100000.0,0.00995024875621886,BIMB,5258,Up,0.0,no news
27,2019-02-14,4.12,4.06,4.13,4.02,1150000.0,0.014778325123152802,BIMB,5258,Up,0.25,positive
28,2019-02-15,4.18,4.12,4.18,4.1,908500.0,0.014563106796116498,BIMB,5258,Up,0.0,no news
29,2019-02-18,4.23,4.19,4.3,4.19,1640000.0,0.011961722488038395,BIMB,5258,Up,0.0,neutral
30,2019-02-18,4.23,4.19,4.3,4.19,1640000.0,0.011961722488038395,BIMB,5258,Up,0.0,neutral
31,2019-02-19,4.22,4.24,4.27,4.2,823900.0,-0.0023640661938535423,BIMB,5258,Down,0.0,neutral
32,2019-02-20,4.22,4.23,4.26,4.2,231200.0,0.0,BIMB,5258,No,0.0,neutral
33,2019-02-21,4.3,4.25,4.3,4.22,234300.0,0.018957345971563955,BIMB,5258,Up,0.0,no news
34,2019-02-22,4.28,4.28,4.3,4.26,215400.0,-0.0046511627906975495,BIMB,5258,Down,0.0,neutral
35,2019-02-25,4.33,4.29,4.36,4.29,484100.0,0.011682242990654235,BIMB,5258,Up,0.0,no news
36,2019-02-26,4.3,4.33,4.34,4.3,812800.0,-0.006928406466512715,BIMB,5258,Down,0.0,no news
37,2019-02-27,4.3,4.33,4.35,4.28,498800.0,0.0,BIMB,5258,No,0.0,no news
38,2019-02-28,4.25,4.3,4.33,4.25,986700.0,-0.011627906976744096,BIMB,5258,Down,0.25,positive
39,2019-03-01,4.25,4.24,4.3,4.22,2110000.0,0.0,BIMB,5258,No,0.0,no news
40,2019-03-04,4.3,4.32,4.35,4.28,304300.0,0.0117647058823529,BIMB,5258,Up,0.5,positive
41,2019-03-05,4.3,4.3,4.3,4.28,189100.0,0.0,BIMB,5258,No,0.0,no news
42,2019-03-06,4.18,4.3,4.32,4.18,224500.0,-0.027906976744186074,BIMB,5258,Down,0.0,no news
43,2019-03-07,4.25,4.26,4.27,4.24,1180000.0,0.01674641148325362,BIMB,5258,Up,0.0,no news
44,2019-03-08,4.24,4.24,4.29,4.2,1180000.0,-0.0023529411764705577,BIMB,5258,Down,-0.1,negative
45,2019-03-11,4.22,4.23,4.24,4.2,1830000.0,-0.004716981132075526,BIMB,5258,Down,0.0,no news
46,2019-03-12,4.2,4.22,4.22,4.19,2760000.0,-0.004739336492890933,BIMB,5258,Down,0.0,no news
47,2019-03-13,4.25,4.2,4.29,4.2,1160000.0,0.011904761904761862,BIMB,5258,Up,0.0,no news
48,2019-03-14,4.24,4.28,4.29,4.24,700300.0,-0.0023529411764705577,BIMB,5258,Down,0.0,no news
49,2019-03-15,4.2,4.25,4.25,4.2,191700.0,-0.009433962264150941,BIMB,5258,Down,0.0,no news
50,2019-03-18,4.21,4.25,4.25,4.2,301900.0,0.0023809523809523725,BIMB,5258,Up,0.0,no news
51,2019-03-19,4.25,4.21,4.25,4.21,678600.0,0.009501187648456089,BIMB,5258,Up,0.0,neutral
52,2019-03-20,4.22,4.25,4.25,4.21,146900.0,-0.007058823529411784,BIMB,5258,Down,0.0,neutral
53,2019-03-21,4.2,4.25,4.25,4.17,245100.0,-0.004739336492890933,BIMB,5258,Down,0.0,neutral
54,2019-03-21,4.2,4.25,4.25,4.17,245100.0,-0.004739336492890933,BIMB,5258,Down,0.0,neutral
55,2019-03-22,4.19,4.2,4.2,4.12,51300.0,-0.0023809523809523725,BIMB,5258,Down,0.0,neutral
56,2019-03-25,4.18,4.17,4.25,4.15,222000.0,-0.0023866348448688957,BIMB,5258,Down,0.0,no news
57,2019-03-26,4.21,4.15,4.25,4.15,86000.0,0.0071770334928229484,BIMB,5258,Up,-0.1,negative
58,2019-03-27,4.21,4.21,4.24,4.2,826200.0,0.0,BIMB,5258,No,0.0,neutral
59,2019-03-27,4.21,4.21,4.24,4.2,826200.0,0.0,BIMB,5258,No,0.25,positive
